Rhode Island January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,412
197512,468
197612,384
197712,443
197812,371
197912,443
198012,512
198112,460
198212,329
198312,580
198412,484
198512,388
198612,301
198712,410
198812,539
198912,463
199012,505
199112,540
199212,295
199312,532
199412,552
199512,532
199612,414
199712,429
199812,538
199912,663
200012,356
200112,535
200212,585
200312,555
200412,425
200512,681
200612,563
200712,556
200812,573
200912,434
201012,714
201112,639
201212,620
201312,633
201412,492
201512,640
201612,721
201712,531
201812,761
201912,624
202012,756
202112,708
202212,731
202312,577
