South Dakota January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,664
197512,737
197612,847
197712,757
197812,686
197912,600
198012,782
198112,672
198212,597
198312,861
198412,659
198512,550
198612,623
198712,778
198812,1005
198912,731
199012,695
199112,797
199212,345
199312,408
199412,598
199512,686
199612,553
199712,641
199812,749
199912,654
200012,725
200112,781
200212,862
200312,721
200412,495
200512,813
200612,837
200712,857
200812,627
200912,464
201012,726
201112,748
201212,1006
201312,695
201412,518
201512,690
201612,783
201712,694
201812,756
201912,628
202012,795
202112,910
202212,840
202312,813
