California January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,751
197512,597
197612,651
197712,738
197812,748
197912,781
198012,664
198112,914
198212,640
198312,814
198412,1047
198512,786
198612,683
198712,722
198812,800
198912,724
199012,863
199112,738
199212,960
199312,725
199412,859
199512,814
199612,941
199712,960
199812,779
199912,698
200012,831
200112,932
200212,830
200312,1057
200412,857
200512,813
200612,1010
200712,888
200812,1018
200912,965
201012,703
201112,774
201212,1019
201312,963
201412,1173
201512,1157
201612,1023
201712,1167
201812,1101
201912,896
202012,1206
202112,1146
202212,1205
202312,849
