Tennessee January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,1064
197512,1257
197612,960
197712,1527
197812,1397
197912,1116
198012,1572
198112,1264
198212,1234
198312,1362
198412,1210
198512,1286
198612,1507
198712,1508
198812,1331
198912,1139
199012,1313
199112,1467
199212,1018
199312,1389
199412,1160
199512,1362
199612,1210
199712,1126
199812,1632
199912,1446
200012,1426
200112,1271
200212,1553
200312,1224
200412,1290
200512,1481
200612,1403
200712,1739
200812,1336
200912,1245
201012,1777
201112,1518
201212,1553
201312,1215
201412,1272
201512,1460
201612,1764
201712,1368
201812,1722
201912,1651
202012,1391
202112,1399
202212,1519
202312,1362
