Texas January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,2443
197512,2333
197612,2119
197712,2820
197812,2746
197912,2311
198012,2799
198112,2586
198212,2630
198312,2370
198412,2630
198512,2724
198612,2705
198712,2440
198812,2558
198912,2482
199012,2714
199112,2598
199212,2378
199312,2480
199412,2597
199512,2570
199612,2735
199712,2519
199812,3196
199912,2835
200012,3004
200112,2724
200212,2690
200312,2690
200412,2672
200512,2828
200612,3000
200712,2596
200812,2717
200912,2837
201012,2878
201112,3370
201212,3096
201312,2746
201412,2683
201512,2908
201612,3061
201712,2944
201812,3015
201912,2932
202012,2961
202112,2816
202212,3224
202312,3379
