Vermont January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,156
197512,250
197612,148
197712,133
197812,159
197912,183
198012,180
198112,158
198212,116
198312,207
198412,208
198512,126
198612,107
198712,157
198812,249
198912,172
199012,193
199112,198
199212,72
199312,193
199412,218
199512,256
199612,171
199712,128
199812,196
199912,281
200012,101
200112,219
200212,233
200312,235
200412,165
200512,358
200612,245
200712,176
200812,199
200912,154
201012,286
201112,285
201212,289
201312,259
201412,180
201512,263
201612,285
201712,162
201812,344
201912,233
202012,319
202112,298
202212,294
202312,265
