Virginia January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,814
197512,993
197612,815
197712,1144
197812,1001
197912,823
198012,1165
198112,924
198212,873
198312,1060
198412,951
198512,949
198612,1095
198712,1223
198812,1053
198912,998
199012,997
199112,1229
199212,783
199312,1175
199412,996
199512,1106
199612,916
199712,868
199812,1214
199912,1100
200012,948
200112,930
200212,1237
200312,985
200412,1088
200512,1239
200612,1088
200712,1241
200812,1063
200912,1000
201012,1476
201112,1281
201212,1227
201312,999
201412,994
201512,1214
201612,1336
201712,1130
201812,1404
201912,1410
202012,1204
202112,1253
202212,1188
202312,1073
