Washington January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,130
197512,115
197612,84
197712,159
197812,132
197912,164
198012,81
198112,152
198212,122
198312,102
198412,111
198512,178
198612,164
198712,146
198812,116
198912,120
199012,227
199112,166
199212,185
199312,96
199412,199
199512,139
199612,159
199712,177
199812,261
199912,118
200012,113
200112,136
200212,155
200312,230
200412,239
200512,165
200612,187
200712,166
200812,131
200912,226
201012,120
201112,122
201212,163
201312,223
201412,269
201512,307
201612,174
201712,254
201812,237
201912,185
202012,183
202112,278
202212,305
202312,269
