Wyoming January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,208
197512,200
197612,226
197712,251
197812,170
197912,215
198012,247
198112,241
198212,218
198312,298
198412,237
198512,213
198612,219
198712,193
198812,383
198912,259
199012,238
199112,256
199212,122
199312,80
199412,289
199512,218
199612,252
199712,219
199812,300
199912,234
200012,352
200112,388
200212,338
200312,381
200412,150
200512,265
200612,381
200712,409
200812,236
200912,151
201012,226
201112,315
201212,447
201312,348
201412,206
201512,285
201612,311
201712,292
201812,280
201912,246
202012,356
202112,413
202212,393
202312,254
