Colorado January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,224
197512,209
197612,230
197712,333
197812,263
197912,211
198012,360
198112,288
198212,236
198312,318
198412,269
198512,245
198612,251
198712,239
198812,340
198912,247
199012,267
199112,245
199212,141
199312,168
199412,366
199512,264
199612,272
199712,262
199812,319
199912,266
200012,418
200112,398
200212,445
200312,412
200412,159
200512,330
200612,374
200712,405
200812,297
200912,186
201012,351
201112,424
201212,498
201312,365
201412,261
201512,338
201612,358
201712,318
201812,395
201912,372
202012,452
202112,428
202212,444
202312,306
