Delaware January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,817
197512,958
197612,855
197712,1020
197812,897
197912,814
198012,1128
198112,889
198212,799
198312,1064
198412,935
198512,940
198612,1017
198712,1136
198812,1081
198912,1009
199012,966
199112,1176
199212,745
199312,1112
199412,1010
199512,1115
199612,893
199712,848
199812,1107
199912,1154
200012,870
200112,1001
200212,1250
200312,1001
200412,1088
200512,1273
200612,1129
200712,1221
200812,1123
200912,980
201012,1491
201112,1352
201212,1337
201312,1092
201412,1018
201512,1292
201612,1358
201712,1167
201812,1393
201912,1375
202012,1256
202112,1254
202212,1265
202312,1093
