Florida January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,3282
197512,3442
197612,2961
197712,3154
197812,3272
197912,3246
198012,3257
198112,3169
198212,3467
198312,3110
198412,3091
198512,3453
198612,3493
198712,3240
198812,3177
198912,3466
199012,3725
199112,3630
199212,3213
199312,3300
199412,3563
199512,3501
199612,3213
199712,3460
199812,3820
199912,3433
200012,3347
200112,3371
200212,3599
200312,3558
200412,3429
200512,3413
200612,3479
200712,3630
200812,3371
200912,3571
201012,3359
201112,3675
201212,3549
201312,3606
201412,3443
201512,4150
201612,3845
201712,3879
201812,3831
201912,4054
202012,4071
202112,3758
202212,3903
202312,4006
