Georgia January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,1405
197512,1520
197612,1259
197712,1780
197812,1699
197912,1419
198012,1818
198112,1583
198212,1519
198312,1527
198412,1496
198512,1605
198612,1864
198712,1707
198812,1528
198912,1467
199012,1753
199112,1691
199212,1347
199312,1754
199412,1441
199512,1684
199612,1540
199712,1410
199812,1990
199912,1691
200012,1694
200112,1521
200212,1845
200312,1534
200412,1685
200512,1693
200612,1745
200712,1865
200812,1633
200912,1622
201012,2044
201112,1887
201212,1803
201312,1471
201412,1625
201512,1852
201612,2078
201712,1733
201812,1999
201912,2095
202012,1786
202112,1658
202212,1815
202312,1740
