Alabama January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,1594
197512,1659
197612,1424
197712,2020
197812,1935
197912,1614
198012,2029
198112,1793
198212,1755
198312,1684
198412,1720
198512,1832
198612,2032
198712,1902
198812,1761
198912,1635
199012,1948
199112,1974
199212,1531
199312,1846
199412,1665
199512,1922
199612,1714
199712,1636
199812,2239
199912,1959
200012,2052
200112,1713
200212,2053
200312,1764
200412,1841
200512,1905
200612,2037
200712,2171
200812,1841
200912,1818
201012,2291
201112,2032
201212,2035
201312,1717
201412,1825
201512,2086
201612,2303
201712,1919
201812,2247
201912,2287
202012,1987
202112,1889
202212,2042
202312,2076
