Idaho January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,7103
197512,7717
197612,7417
197712,7170
197812,7209
197912,7385
198012,6960
198112,6679
198212,7764
198312,7058
198412,7963
198512,8540
198612,6805
198712,6542
198812,6829
198912,7348
199012,7013
199112,7137
199212,6439
199312,7732
199412,6799
199512,6770
199612,7054
199712,6930
199812,6727
199912,6875
200012,6902
200112,6851
200212,7158
200312,6421
200412,6736
200512,7008
200612,6797
200712,6706
200812,7339
200912,7270
201012,6933
201112,7401
201212,6494
201312,7187
201412,6491
201512,6103
201612,6429
201712,6985
201812,6646
201912,7132
202012,6661
202112,6479
202212,7280
202312,6897
