Indiana January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,5812
197512,5721
197612,6260
197712,6199
197812,6765
197912,6549
198012,6369
198112,6087
198212,6067
198312,5981
198412,5960
198512,5964
198612,5627
198712,5443
198812,6154
198912,6262
199012,5116
199112,5334
199212,5677
199312,6131
199412,5786
199512,6040
199612,6312
199712,6084
199812,4782
199912,5412
200012,5810
200112,5259
200212,5529
200312,5913
200412,5524
200512,5617
200612,5147
200712,5459
200812,6038
200912,5822
201012,5779
201112,5494
201212,4832
201312,5961
201412,6563
201512,5605
201612,5133
201712,4986
201812,5801
201912,5725
202012,5279
202112,5273
202212,5746
202312,4803
