Kentucky January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,4361
197512,4490
197612,5084
197712,5027
197812,5411
197912,5142
198012,5110
198112,4960
198212,4540
198312,4906
198412,4623
198512,4697
198612,4350
198712,4453
198812,4959
198912,4893
199012,3894
199112,4141
199212,4497
199312,4850
199412,4548
199512,4759
199612,4901
199712,4798
199812,3857
199912,4144
200012,4579
200112,4219
200212,4371
200312,4597
200412,4238
200512,4386
200612,4131
200712,4148
200812,4689
200912,4552
201012,4827
201112,4257
201212,3790
201312,4698
201412,5017
201512,4303
201612,4075
201712,3802
201812,4466
201912,4190
202012,4078
202112,4165
202212,4474
202312,3675
