Maine January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,8400
197512,8090
197612,8443
197712,8165
197812,8587
197912,7753
198012,8483
198112,7806
198212,8321
198312,7654
198412,7927
198512,8329
198612,8208
198712,8033
198812,8084
198912,8570
199012,7486
199112,7664
199212,8363
199312,8332
199412,8210
199512,8076
199612,8052
199712,8324
199812,7164
199912,7141
200012,7947
200112,7548
200212,7749
200312,8250
200412,8170
200512,7843
200612,7028
200712,8030
200812,7780
200912,8058
201012,6885
201112,7454
201212,7073
201312,7742
201412,7954
201512,8023
201612,7268
201712,7499
201812,7835
201912,8097
202012,7184
202112,6959
202212,7238
202312,6907
