Massachusetts January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,6585
197512,6322
197612,6785
197712,6571
197812,7064
197912,6318
198012,6854
198112,6631
198212,6650
198312,6238
198412,6378
198512,6525
198612,6464
198712,6514
198812,6692
198912,6801
199012,5758
199112,5826
199212,6750
199312,6587
199412,6515
199512,6452
199612,6532
199712,6493
199812,5556
199912,5836
200012,6361
200112,5961
200212,5959
200312,6732
200412,6447
200512,6415
200612,5657
200712,6264
200812,6182
200912,6380
201012,5722
201112,5861
201212,5296
201312,6168
201412,6398
201512,6268
201612,5711
201712,5796
201812,6061
201912,6245
202012,5535
202112,5515
202212,5708
202312,5262
