Michigan January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,7225
197512,6949
197612,7593
197712,7176
197812,7741
197912,7511
198012,7579
198112,7216
198212,7246
198312,7078
198412,7119
198512,7117
198612,6911
198712,6426
198812,7154
198912,7514
199012,6396
199112,6505
199212,7124
199312,7362
199412,7110
199512,7253
199612,7502
199712,7248
199812,5766
199912,6505
200012,6777
200112,6272
200212,6657
200312,7132
200412,6774
200512,6793
200612,6159
200712,6554
200812,7073
200912,7029
201012,6401
201112,6727
201212,5774
201312,7009
201412,7670
201512,6713
201612,6156
201712,6225
201812,6854
201912,6963
202012,6276
202112,6079
202212,6708
202312,5883
