Minnesota January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,9007
197512,9139
197612,9133
197712,8756
197812,9437
197912,9754
198012,8931
198112,8271
198212,9388
198312,8905
198412,8752
198512,9426
198612,8567
198712,7399
198812,8882
198912,9457
199012,8201
199112,8634
199212,8554
199312,9347
199412,8736
199512,9077
199612,9865
199712,8876
199812,7412
199912,7868
200012,8447
200112,8100
200212,8478
200312,8601
200412,8447
200512,8127
200612,7651
200712,8298
200812,9272
200912,8920
201012,8191
201112,8472
201212,7387
201312,9372
201412,9627
201512,7889
201612,7594
201712,8145
201812,9008
201912,9326
202012,8310
202112,7826
202212,9123
202312,7820
