Mississippi January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,2274
197512,2406
197612,2899
197712,2822
197812,3052
197912,2987
198012,2860
198112,2704
198212,2354
198312,2985
198412,2446
198512,2656
198612,2351
198712,2531
198812,2728
198912,2646
199012,2025
199112,2334
199212,2486
199312,2746
199412,2354
199512,2525
199612,2604
199712,2589
199812,2139
199912,2144
200012,2524
200112,2386
200212,2498
200312,2571
200412,2339
200512,2344
200612,2237
200712,2223
200812,2520
200912,2477
201012,2971
201112,2409
201212,1957
201312,2602
201412,2877
201512,2165
201612,2091
201712,1818
201812,2469
201912,2276
202012,1983
202112,2162
202212,2355
202312,1841
