Missouri January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,5040
197512,5130
197612,5369
197712,5312
197812,5981
197912,5941
198012,5440
198112,4991
198212,5425
198312,5569
198412,5177
198512,5627
198612,4833
198712,4688
198812,5292
198912,5479
199012,4560
199112,4814
199212,4833
199312,5680
199412,5005
199512,5327
199612,5633
199712,5365
199812,4482
199912,4568
200012,5072
200112,4772
200212,5016
200312,5127
200412,4813
200512,4782
200612,4446
200712,4845
200812,5462
200912,5183
201012,5244
201112,4998
201212,4079
201312,5461
201412,5700
201512,4728
201612,4399
201712,4291
201812,5320
201912,5182
202012,4765
202112,4645
202212,5216
202312,4280
