Nebraska January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,6334
197512,6854
197612,6474
197712,6276
197812,7547
197912,7337
198012,6492
198112,5934
198212,7072
198312,7072
198412,6653
198512,7030
198612,5975
198712,5682
198812,6340
198912,6707
199012,6007
199112,6176
199212,6041
199312,7203
199412,6373
199512,6577
199612,7178
199712,6551
199812,5876
199912,5729
200012,6214
200112,5999
200212,6259
200312,6245
200412,6000
200512,5924
200612,5647
200712,6251
200812,6896
200912,6686
201012,6473
201112,6497
201212,5356
201312,6718
201412,6694
201512,5780
201612,5557
201712,5807
201812,6816
201912,6863
202012,6049
202112,5825
202212,6403
202312,5845
