Nevada January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,3764
197512,4031
197612,3659
197712,3551
197812,3722
197912,3858
198012,3401
198112,3240
198212,4066
198312,3708
198412,3872
198512,3935
198612,3197
198712,3660
198812,3542
198912,3455
199012,3726
199112,3695
199212,3513
199312,3806
199412,3658
199512,3248
199612,3263
199712,3423
199812,3901
199912,3350
200012,3376
200112,3460
200212,3532
200312,3342
200412,3486
200512,3462
200612,3568
200712,3396
200812,3589
200912,3588
201012,3654
201112,3823
201212,3196
201312,3631
201412,2912
201512,3076
201612,3185
201712,3101
201812,3290
201912,3770
202012,3274
202112,3284
202212,3502
202312,3702
