New Hampshire January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,7969
197512,7709
197612,8230
197712,7828
197812,8376
197912,7599
198012,8236
198112,7731
198212,8056
198312,7494
198412,7650
198512,7922
198612,7799
198712,7746
198812,7967
198912,8185
199012,7108
199112,7211
199212,8093
199312,7937
199412,7934
199512,7749
199612,7800
199712,7958
199812,6748
199912,7060
200012,7688
200112,7273
200212,7285
200312,8041
200412,7716
200512,7597
200612,6864
200712,7671
200812,7534
200912,7761
201012,6831
201112,7185
201212,6587
201312,7470
201412,7795
201512,7599
201612,6921
201712,7100
201812,7426
201912,7725
202012,6906
202112,6788
202212,7065
202312,6493
