New Jersey January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,5469
197512,5289
197612,5873
197712,5677
197812,6122
197912,5577
198012,5863
198112,5769
198212,5634
198312,5469
198412,5503
198512,5361
198612,5429
198712,5500
198812,5854
198912,5785
199012,4686
199112,4891
199212,5672
199312,5606
199412,5593
199512,5526
199612,5684
199712,5476
199812,4545
199912,5061
200012,5411
200112,5034
200212,4975
200312,5700
200412,5288
200512,5401
200612,4625
200712,5154
200812,5162
200912,5301
201012,5018
201112,4889
201212,4450
201312,5259
201412,5630
201512,5185
201612,4842
201712,4777
201812,5192
201912,5090
202012,4615
202112,4757
202212,5082
202312,4447
