New Mexico January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,4890
197512,5258
197612,5143
197712,4743
197812,4737
197912,5127
198012,4780
198112,4400
198212,4951
198312,4995
198412,4992
198512,4843
198612,4562
198712,5102
198812,4880
198912,4473
199012,4778
199112,4881
199212,4923
199312,4737
199412,4565
199512,4369
199612,4364
199712,4884
199812,4595
199912,4324
200012,4336
200112,4489
200212,4569
200312,4198
200412,4613
200512,4339
200612,4366
200712,4529
200812,4625
200912,4468
201012,4597
201112,4652
201212,4112
201312,4793
201412,4293
201512,4332
201612,4134
201712,3779
201812,4264
201912,4575
202012,4166
202112,4187
202212,4584
202312,4387
