Arkansas January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,3317
197512,3543
197612,3734
197712,3690
197812,4185
197912,4143
198012,3855
198112,3546
198212,3604
198312,4085
198412,3524
198512,3768
198612,3296
198712,3432
198812,3757
198912,3753
199012,3066
199112,3308
199212,3369
199312,3962
199412,3372
199512,3503
199612,3770
199712,3670
199812,3083
199912,3002
200012,3565
200112,3322
200212,3546
200312,3493
200412,3199
200512,3180
200612,3051
200712,3226
200812,3654
200912,3552
201012,3724
201112,3369
201212,2751
201312,3747
201412,3974
201512,3326
201612,2990
201712,2761
201812,3623
201912,3454
202012,3190
202112,3254
202212,3508
202312,2878
