North Carolina January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,3235
197512,3361
197612,3807
197712,3849
197812,4000
197912,3737
198012,3938
198112,4033
198212,3528
198312,3883
198412,3495
198512,3377
198612,3335
198712,3804
198812,3993
198912,3688
199012,2763
199112,3149
199212,3546
199312,3718
199412,3370
199512,3670
199612,3823
199712,3583
199812,3037
199912,3213
200012,3660
200112,3208
200212,3326
200312,3520
200412,3397
200512,3461
200612,3135
200712,3116
200812,3415
200912,3530
201012,3882
201112,3237
201212,2955
201312,3533
201412,3716
201512,3150
201612,3154
201712,2896
201812,3405
201912,3064
202012,2904
202112,3104
202212,3286
202312,2848
