North Dakota January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,9575
197512,9690
197612,9214
197712,9187
197812,10178
197912,10513
198012,9135
198112,8386
198212,10206
198312,9307
198412,9232
198512,10018
198612,8871
198712,7783
198812,9016
198912,9869
199012,8627
199112,8824
199212,8916
199312,9908
199412,9443
199512,9714
199612,10791
199712,9376
199812,8449
199912,8434
200012,9128
200112,8749
200212,9242
200312,9312
200412,9178
200512,8688
200612,8278
200712,8991
200812,9782
200912,9959
201012,9145
201112,9288
201212,8172
201312,10045
201412,9812
201512,8350
201612,8003
201712,8828
201812,9658
201912,10201
202012,8860
202112,8373
202212,9856
202312,8915
