Oklahoma January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,3573
197512,3799
197612,3807
197712,3658
197812,4418
197912,4384
198012,3852
198112,3510
198212,3844
198312,4298
198412,3771
198512,4112
198612,3429
198712,3655
198812,3865
198912,3975
199012,3360
199112,3502
199212,3394
199312,4170
199412,3610
199512,3628
199612,3888
199712,3830
199812,3382
199912,3082
200012,3703
200112,3494
200212,3748
200312,3613
200412,3343
200512,3358
200612,3018
200712,3541
200812,3675
200912,3681
201012,3777
201112,3595
201212,2868
201312,4000
201412,3949
201512,3414
201612,3039
201712,2922
201812,3827
201912,3742
202012,3264
202112,3346
202212,3669
202312,3166
