Oregon January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,5546
197512,5832
197612,5723
197712,5601
197812,5570
197912,5465
198012,5538
198112,5287
198212,5884
198312,5440
198412,5793
198512,6232
198612,5169
198712,5026
198812,5306
198912,5532
199012,5514
199112,5370
199212,4647
199312,5702
199412,5336
199512,5002
199612,5390
199712,5232
199812,5282
199912,5471
200012,5468
200112,5365
200212,5326
200312,5013
200412,5018
200512,5261
200612,5272
200712,5494
200812,5730
200912,5567
201012,5399
201112,5857
201212,5425
201312,5419
201412,4740
201512,4495
201612,4883
201712,5370
201812,5057
201912,5426
202012,5042
202112,5068
202212,5291
202312,5178
