Rhode Island January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,6177
197512,5932
197612,6458
197712,6184
197812,6729
197912,5954
198012,6466
198112,6320
198212,6274
198312,5920
198412,5995
198512,6130
198612,6108
198712,6149
198812,6336
198912,6429
199012,5382
199112,5475
199212,6326
199312,6195
199412,6143
199512,6003
199612,6186
199712,6082
199812,5237
199912,5466
200012,6003
200112,5570
200212,5603
200312,6347
200412,6113
200512,6092
200612,5320
200712,5869
200812,5735
200912,5961
201012,5434
201112,5479
201212,5005
201312,5827
201412,6021
201512,5880
201612,5354
201712,5428
201812,5639
201912,5841
202012,5184
202112,5220
202212,5413
202312,5020
