South Carolina January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,2398
197512,2529
197612,2995
197712,3048
197812,3126
197912,2929
198012,3129
198112,3182
198212,2623
198312,3147
198412,2676
198512,2626
198612,2490
198712,2942
198812,3103
198912,2753
199012,2053
199112,2442
199212,2746
199312,2930
199412,2536
199512,2832
199612,2971
199712,2685
199812,2311
199912,2472
200012,2918
200112,2427
200212,2591
200312,2744
200412,2643
200512,2684
200612,2388
200712,2350
200812,2659
200912,2767
201012,3211
201112,2515
201212,2189
201312,2708
201412,2938
201512,2366
201612,2391
201712,2089
201812,2612
201912,2336
202012,2164
202112,2373
202212,2502
202312,2141
