South Dakota January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,7559
197512,8222
197612,7709
197712,7735
197812,8835
197912,8670
198012,7586
198112,6976
198212,8452
198312,8151
198412,7908
198512,8487
198612,7453
198712,6660
198812,7635
198912,8150
199012,7214
199112,7362
199212,7397
199312,8531
199412,7802
199512,8007
199612,8896
199712,7969
199812,7067
199912,6865
200012,7563
200112,7458
200212,7605
200312,7529
200412,7187
200512,7158
200612,6917
200712,7421
200812,8267
200912,8099
201012,7737
201112,7885
201212,6568
201312,8285
201412,8178
201512,7002
201612,6806
201712,7218
201812,8202
201912,8627
202012,7376
202112,7036
202212,7954
202312,7353
