California January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,3300
197512,3613
197612,3037
197712,3056
197812,3142
197912,3204
198012,2939
198112,2816
198212,3431
198312,3056
198412,3057
198512,3277
198612,2724
198712,3025
198812,2896
198912,2936
199012,3075
199112,3029
199212,2721
199312,2920
199412,3163
199512,2735
199612,2655
199712,2667
199812,3416
199912,3058
200012,2836
200112,2970
200212,2952
200312,2840
200412,2848
200512,2820
200612,3021
200712,2882
200812,2868
200912,2887
201012,3092
201112,3187
201212,2748
201312,2712
201412,2095
201512,2347
201612,2445
201712,2449
201812,2546
201912,2950
202012,2570
202112,2689
202212,2672
202312,3123
