Texas January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,1915
197512,1968
197612,2252
197712,2102
197812,2524
197912,2445
198012,2129
198112,1914
198212,1998
198312,2394
198412,1919
198512,2215
198612,1818
198712,2061
198812,2040
198912,2158
199012,1701
199112,1934
199212,1875
199312,2137
199412,1793
199512,1806
199612,1915
199712,2148
199812,1728
199912,1506
200012,1807
200112,1905
200212,2004
200312,1895
200412,1774
200512,1707
200612,1520
200712,1855
200812,1795
200912,1846
201012,2149
201112,1827
201212,1411
201312,2014
201412,2088
201512,1858
201612,1501
201712,1337
201812,1984
201912,1879
202012,1549
202112,1643
202212,1949
202312,1474
