Vermont January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,8671
197512,8269
197612,8951
197712,8406
197812,9093
197912,8226
198012,8907
198112,8337
198212,8572
198312,8212
198412,8255
198512,8542
198612,8380
198712,8319
198812,8552
198912,8845
199012,7660
199112,7856
199212,8802
199312,8704
199412,8689
199512,8340
199612,8410
199712,8692
199812,7281
199912,7698
200012,8400
200112,7783
200212,7867
200312,8631
200412,8441
200512,8079
200612,7355
200712,8295
200812,8036
200912,8284
201012,7463
201112,7656
201212,7064
201312,8030
201412,8403
201512,8190
201612,7520
201712,7724
201812,8104
201912,8471
202012,7481
202112,7426
202212,7715
202312,7094
