Washington January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,5851
197512,6286
197612,6037
197712,6037
197812,5938
197912,5850
198012,5873
198112,5583
198212,6127
198312,5701
198412,6115
198512,6660
198612,5565
198712,5293
198812,5636
198912,5797
199012,5750
199112,5699
199212,5175
199312,5953
199412,5507
199512,5353
199612,6061
199712,5519
199812,5303
199912,5760
200012,5893
200112,5820
200212,5756
200312,5360
200412,5238
200512,5494
200612,5554
200712,5837
200812,6134
200912,5960
201012,5577
201112,6204
201212,5790
201312,5751
201412,5256
201512,4889
201612,5126
201712,5794
201812,5382
201912,5750
202012,5416
202112,5562
202212,5788
202312,5347
