Wisconsin January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,7946
197512,7850
197612,8392
197712,7918
197812,8503
197912,8590
198012,8119
198112,7646
198212,8228
198312,7874
198412,7754
198512,8198
198612,7642
198712,6857
198812,7859
198912,8365
199012,7170
199112,7545
199212,7727
199312,8122
199412,7778
199512,8057
199612,8556
199712,7899
199812,6422
199912,7071
200012,7436
200112,7032
200212,7330
200312,7748
200412,7445
200512,7319
200612,6880
200712,7301
200812,8169
200912,7891
201012,7126
201112,7523
201212,6451
201312,8189
201412,8679
201512,7214
201612,6850
201712,7096
201812,7797
201912,8025
202012,7186
202112,6934
202212,7747
202312,6631
