Colorado January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,7459
197512,7752
197612,7398
197712,6993
197812,7658
197912,7858
198012,7305
198112,6679
198212,7660
198312,7760
198412,7808
198512,7789
198612,6881
198712,7241
198812,7364
198912,7289
199012,7203
199112,7229
199212,7137
199312,7780
199412,6851
199512,7217
199612,7191
199712,7452
199812,6966
199912,6766
200012,6877
200112,6876
200212,7230
200312,6843
200412,6961
200512,6832
200612,6923
200712,7156
200812,7453
200912,7353
201012,7057
201112,7397
201212,6397
201312,7480
201412,7155
201512,6668
201612,6672
201712,6479
201812,6872
201912,7498
202012,6814
202112,6723
202212,7212
202312,7168
