Connecticut January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,6276
197512,6029
197612,6548
197712,6327
197812,6790
197912,6091
198012,6496
198112,6334
198212,6332
198312,6026
198412,6118
198512,6115
198612,6124
198712,6119
198812,6429
198912,6445
199012,5370
199112,5477
199212,6378
199312,6270
199412,6241
199512,6145
199612,6270
199712,6140
199812,5236
199912,5614
200012,6108
200112,5672
200212,5697
200312,6458
200412,6148
200512,6178
200612,5416
200712,5945
200812,5908
200912,6103
201012,5524
201112,5605
201212,5028
201312,5930
201412,6205
201512,5938
201612,5364
201712,5440
201812,5739
201912,5937
202012,5344
202112,5410
202212,5627
202312,5067
