State,Year,January-December Heating Degree Days (Units Fahrenheit Degree-Days)
Alabama,1974,2517
Alabama,1975,2687
Alabama,1976,3275
Alabama,1977,3161
Alabama,1978,3317
Alabama,1979,3184
Alabama,1980,3174
Alabama,1981,3126
Alabama,1982,2622
Alabama,1983,3278
Alabama,1984,2750
Alabama,1985,2900
Alabama,1986,2611
Alabama,1987,2806
Alabama,1988,3042
Alabama,1989,2916
Alabama,1990,2234
Alabama,1991,2552
Alabama,1992,2818
Alabama,1993,3028
Alabama,1994,2607
Alabama,1995,2871
Alabama,1996,3004
Alabama,1997,2854
Alabama,1998,2415
Alabama,1999,2458
Alabama,2000,2802
Alabama,2001,2656
Alabama,2002,2774
Alabama,2003,2806
Alabama,2004,2637
Alabama,2005,2691
Alabama,2006,2534
Alabama,2007,2521
Alabama,2008,2808
Alabama,2009,2798
Alabama,2010,3318
Alabama,2011,2667
Alabama,2012,2209
Alabama,2013,2825
Alabama,2014,3134
Alabama,2015,2427
Alabama,2016,2353
Alabama,2017,2129
Alabama,2018,2694
Alabama,2019,2398
Alabama,2020,2284
Alabama,2021,2396
Alabama,2022,2612
Alabama,2023,2139
Arizona,1974,2282
Arizona,1975,2498
Arizona,1976,2166
Arizona,1977,2018
Arizona,1978,2161
Arizona,1979,2372
Arizona,1980,1892
Arizona,1981,1782
Arizona,1982,2248
Arizona,1983,2231
Arizona,1984,2192
Arizona,1985,2217
Arizona,1986,1787
Arizona,1987,2259
Arizona,1988,2025
Arizona,1989,1851
Arizona,1990,2163
Arizona,1991,2142
Arizona,1992,2176
Arizona,1993,2061
Arizona,1994,2118
Arizona,1995,1811
Arizona,1996,1716
Arizona,1997,2005
Arizona,1998,2255
Arizona,1999,1823
Arizona,2000,1945
Arizona,2001,2084
Arizona,2002,1968
Arizona,2003,1857
Arizona,2004,2009
Arizona,2005,1860
Arizona,2006,1909
Arizona,2007,1929
Arizona,2008,1970
Arizona,2009,1864
Arizona,2010,2005
Arizona,2011,2152
Arizona,2012,1750
Arizona,2013,2063
Arizona,2014,1578
Arizona,2015,1778
Arizona,2016,1624
Arizona,2017,1473
Arizona,2018,1733
Arizona,2019,2087
Arizona,2020,1834
Arizona,2021,1723
Arizona,2022,2061
Arizona,2023,2063
Arkansas,1974,3317
Arkansas,1975,3543
Arkansas,1976,3734
Arkansas,1977,3690
Arkansas,1978,4185
Arkansas,1979,4143
Arkansas,1980,3855
Arkansas,1981,3546
Arkansas,1982,3604
Arkansas,1983,4085
Arkansas,1984,3524
Arkansas,1985,3768
Arkansas,1986,3296
Arkansas,1987,3432
Arkansas,1988,3757
Arkansas,1989,3753
Arkansas,1990,3066
Arkansas,1991,3308
Arkansas,1992,3369
Arkansas,1993,3962
Arkansas,1994,3372
Arkansas,1995,3503
Arkansas,1996,3770
Arkansas,1997,3670
Arkansas,1998,3083
Arkansas,1999,3002
Arkansas,2000,3565
Arkansas,2001,3322
Arkansas,2002,3546
Arkansas,2003,3493
Arkansas,2004,3199
Arkansas,2005,3180
Arkansas,2006,3051
Arkansas,2007,3226
Arkansas,2008,3654
Arkansas,2009,3552
Arkansas,2010,3724
Arkansas,2011,3369
Arkansas,2012,2751
Arkansas,2013,3747
Arkansas,2014,3974
Arkansas,2015,3326
Arkansas,2016,2990
Arkansas,2017,2761
Arkansas,2018,3623
Arkansas,2019,3454
Arkansas,2020,3190
Arkansas,2021,3254
Arkansas,2022,3508
Arkansas,2023,2878
California,1974,3300
California,1975,3613
California,1976,3037
California,1977,3056
California,1978,3142
California,1979,3204
California,1980,2939
California,1981,2816
California,1982,3431
California,1983,3056
California,1984,3057
California,1985,3277
California,1986,2724
California,1987,3025
California,1988,2896
California,1989,2936
California,1990,3075
California,1991,3029
California,1992,2721
California,1993,2920
California,1994,3163
California,1995,2735
California,1996,2655
California,1997,2667
California,1998,3416
California,1999,3058
California,2000,2836
California,2001,2970
California,2002,2952
California,2003,2840
California,2004,2848
California,2005,2820
California,2006,3021
California,2007,2882
California,2008,2868
California,2009,2887
California,2010,3092
California,2011,3187
California,2012,2748
California,2013,2712
California,2014,2095
California,2015,2347
California,2016,2445
California,2017,2449
California,2018,2546
California,2019,2950
California,2020,2570
California,2021,2689
California,2022,2672
California,2023,3123
Colorado,1974,7459
Colorado,1975,7752
Colorado,1976,7398
Colorado,1977,6993
Colorado,1978,7658
Colorado,1979,7858
Colorado,1980,7305
Colorado,1981,6679
Colorado,1982,7660
Colorado,1983,7760
Colorado,1984,7808
Colorado,1985,7789
Colorado,1986,6881
Colorado,1987,7241
Colorado,1988,7364
Colorado,1989,7289
Colorado,1990,7203
Colorado,1991,7229
Colorado,1992,7137
Colorado,1993,7780
Colorado,1994,6851
Colorado,1995,7217
Colorado,1996,7191
Colorado,1997,7452
Colorado,1998,6966
Colorado,1999,6766
Colorado,2000,6877
Colorado,2001,6876
Colorado,2002,7230
Colorado,2003,6843
Colorado,2004,6961
Colorado,2005,6832
Colorado,2006,6923
Colorado,2007,7156
Colorado,2008,7453
Colorado,2009,7353
Colorado,2010,7057
Colorado,2011,7397
Colorado,2012,6397
Colorado,2013,7480
Colorado,2014,7155
Colorado,2015,6668
Colorado,2016,6672
Colorado,2017,6479
Colorado,2018,6872
Colorado,2019,7498
Colorado,2020,6814
Colorado,2021,6723
Colorado,2022,7212
Colorado,2023,7168
Connecticut,1974,6276
Connecticut,1975,6029
Connecticut,1976,6548
Connecticut,1977,6327
Connecticut,1978,6790
Connecticut,1979,6091
Connecticut,1980,6496
Connecticut,1981,6334
Connecticut,1982,6332
Connecticut,1983,6026
Connecticut,1984,6118
Connecticut,1985,6115
Connecticut,1986,6124
Connecticut,1987,6119
Connecticut,1988,6429
Connecticut,1989,6445
Connecticut,1990,5370
Connecticut,1991,5477
Connecticut,1992,6378
Connecticut,1993,6270
Connecticut,1994,6241
Connecticut,1995,6145
Connecticut,1996,6270
Connecticut,1997,6140
Connecticut,1998,5236
Connecticut,1999,5614
Connecticut,2000,6108
Connecticut,2001,5672
Connecticut,2002,5697
Connecticut,2003,6458
Connecticut,2004,6148
Connecticut,2005,6178
Connecticut,2006,5416
Connecticut,2007,5945
Connecticut,2008,5908
Connecticut,2009,6103
Connecticut,2010,5524
Connecticut,2011,5605
Connecticut,2012,5028
Connecticut,2013,5930
Connecticut,2014,6205
Connecticut,2015,5938
Connecticut,2016,5364
Connecticut,2017,5440
Connecticut,2018,5739
Connecticut,2019,5937
Connecticut,2020,5344
Connecticut,2021,5410
Connecticut,2022,5627
Connecticut,2023,5067
Delaware,1974,4693
Delaware,1975,4614
Delaware,1976,5077
Delaware,1977,4942
Delaware,1978,5422
Delaware,1979,4990
Delaware,1980,5176
Delaware,1981,5146
Delaware,1982,4918
Delaware,1983,4832
Delaware,1984,4849
Delaware,1985,4559
