Georgia January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,75.8
197512,75.1
197612,73.7
197712,74.9
197812,74.5
197912,73.7
198012,74.8
198112,74.7
198212,75.2
198312,73.4
198412,75.4
198512,75.1
198612,76.7
198712,75.0
198812,74.5
198912,74.5
199012,78.0
199112,75.4
199212,73.7
199312,74.8
199412,74.6
199512,74.9
199612,74.4
199712,74.4
199812,76.9
199912,76.6
200012,75.6
200112,75.9
200212,75.8
200312,74.3
200412,75.1
200512,74.9
200612,76.8
200712,77.0
200812,75.3
200912,74.3
201012,74.9
201112,76.9
201212,77.1
201312,74.1
201412,74.6
201512,76.0
201612,77.7
201712,77.1
201812,75.9
201912,77.7
202012,76.5
202112,75.8
202212,76.6
202312,77.1
