Illinois January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,61.4
197512,61.8
197612,61.8
197712,61.7
197812,59.7
197912,59.7
198012,61.6
198112,62.0
198212,60.7
198312,61.7
198412,61.7
198512,60.8
198612,62.8
198712,64.6
198812,63.7
198912,60.9
199012,63.8
199112,63.8
199212,61.7
199312,60.0
199412,62.4
199512,61.8
199612,60.2
199712,60.7
199812,64.6
199912,64.3
200012,62.4
200112,63.7
200212,63.4
200312,62.1
200412,62.6
200512,64.0
200612,64.1
200712,64.1
200812,61.1
200912,61.1
201012,63.1
201112,62.9
201212,66.9
201312,61.1
201412,59.5
201512,62.9
201612,64.5
201712,64.8
201812,62.3
201912,61.8
202012,63.2
202112,63.6
202212,62.5
202312,65.3
