Kansas January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,67.0
197512,66.2
197612,67.9
197712,68.0
197812,65.2
197912,64.9
198012,68.0
198112,68.2
198212,65.4
198312,64.5
198412,66.2
198512,64.4
198612,68.6
198712,67.5
198812,68.0
198912,66.3
199012,68.2
199112,68.3
199212,65.8
199312,63.1
199412,67.6
199512,66.4
199612,65.7
199712,65.6
199812,68.0
199912,68.6
200012,68.3
200112,68.4
200212,68.0
200312,67.6
200412,67.2
200512,68.2
200612,70.2
200712,66.9
200812,65.9
200912,65.9
201012,67.4
201112,68.3
201212,72.1
201312,66.3
201412,66.4
201512,68.7
201612,70.0
201712,69.3
201812,67.1
201912,65.7
202012,68.3
202112,68.8
202212,69.0
202312,69.4
