Kentucky January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,66.1
197512,66.4
197612,65.1
197712,65.9
197812,64.2
197912,64.0
198012,65.8
198112,65.4
198212,66.3
198312,65.9
198412,66.1
198512,65.5
198612,67.5
198712,68.0
198812,67.0
198912,65.1
199012,68.6
199112,68.0
199212,65.5
199312,65.6
199412,66.7
199512,66.5
199612,65.1
199712,65.2
199812,68.8
199912,69.4
200012,66.8
200112,68.0
200212,67.6
200312,65.6
200412,67.0
200512,67.8
200612,67.8
200712,69.4
200812,66.7
200912,65.8
201012,67.1
201112,67.6
201212,70.0
201312,65.5
201412,65.3
201512,67.4
201612,69.0
201712,68.7
201812,67.1
201912,68.5
202012,67.6
202112,67.6
202212,67.6
202312,69.3
