Maine January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,49.7
197512,51.3
197612,50.0
197712,50.5
197812,50.1
197912,51.2
198012,49.7
198112,51.5
198212,50.5
198312,52.0
198412,51.6
198512,50.5
198612,50.6
198712,51.5
198812,51.3
198912,50.0
199012,52.5
199112,52.3
199212,50.0
199312,50.7
199412,50.8
199512,51.4
199612,50.6
199712,50.1
199812,53.3
199912,54.3
200012,50.9
200112,53.5
200212,51.8
200312,50.7
200412,50.6
200512,51.9
200612,53.5
200712,51.1
200812,51.7
200912,50.9
201012,54.0
201112,52.6
201212,53.9
201312,51.8
201412,51.2
201512,51.6
201612,53.4
201712,52.4
201812,51.8
201912,50.7
202012,53.7
202112,54.1
202212,53.9
202312,53.7
