Maryland January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,64.6
197512,64.3
197612,63.8
197712,64.2
197812,62.6
197912,62.8
198012,63.8
198112,63.3
198212,63.8
198312,64.3
198412,64.0
198512,65.0
198612,64.9
198712,65.1
198812,64.3
198912,63.2
199012,67.1
199112,67.1
199212,63.1
199312,64.2
199412,64.8
199512,64.5
199612,62.8
199712,64.4
199812,67.2
199912,66.4
200012,64.4
200112,66.0
200212,66.7
200312,63.3
200412,64.7
200512,65.2
200612,66.8
200712,66.0
200812,65.6
200912,64.2
201012,65.9
201112,66.4
201212,67.7
201312,64.3
201412,63.6
201512,65.5
201612,66.5
201712,66.5
201812,65.1
201912,66.4
202012,66.9
202112,66.7
202212,66.1
202312,67.7
