Alaska January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,31.7
197512,30.8
197612,33.7
197712,34.7
197812,36.7
197912,35.2
198012,33.8
198112,36.5
198212,32.5
198312,34.1
198412,32.9
198512,33.8
198612,34.6
198712,35.1
198812,34.6
198912,34.3
199012,33.3
199112,34.7
199212,32.6
199312,37.4
199412,33.7
199512,35.1
199612,33.1
199712,36.0
199812,35.6
199912,31.8
200012,35.6
200112,34.8
200212,37.6
200312,36.7
200412,37.1
200512,36.8
200612,33.8
200712,35.7
200812,32.7
200912,34.6
201012,34.9
201112,34.6
201212,31.8
201312,35.5
201412,37.8
201512,37.4
201612,39.3
201712,36.9
201812,37.5
201912,39.5
202012,35.0
202112,33.9
202212,36.0
202312,35.7
