Michigan January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,53.3
197512,54.5
197612,53.5
197712,54.2
197812,52.8
197912,52.2
198012,52.7
198112,54.0
198212,53.2
198312,54.3
198412,54.3
198512,53.2
198612,54.2
198712,56.9
198812,55.2
198912,53.0
199012,55.8
199112,55.9
199212,52.7
199312,52.8
199412,54.2
199512,53.9
199612,52.3
199712,53.2
199812,58.3
199912,56.9
200012,55.1
200112,56.5
200212,55.4
200312,54.2
200412,54.5
200512,56.2
200612,56.7
200712,56.2
200812,54.1
200912,53.7
201012,56.9
201112,55.3
201212,58.7
201312,53.7
201412,51.6
201512,55.3
201612,57.0
201712,55.8
201812,54.5
201912,53.3
202012,56.0
202112,57.2
202212,54.9
202312,56.8
