Minnesota January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,50.9
197512,50.7
197612,52.8
197712,51.7
197812,50.0
197912,48.1
198012,51.9
198112,53.2
198212,49.3
198312,50.9
198412,51.7
198512,49.4
198612,51.8
198712,56.1
198812,53.2
198912,50.6
199012,53.8
199112,52.2
199212,50.7
199312,48.9
199412,51.3
199512,50.3
199612,48.0
199712,50.7
199812,54.9
199912,54.1
200012,52.4
200112,53.4
200212,52.1
200312,52.4
200412,51.7
200512,53.3
200612,54.7
200712,52.8
200812,50.1
200912,50.3
201012,53.2
201112,52.3
201212,56.1
201312,49.5
201412,48.7
201512,53.8
201612,54.2
201712,52.8
201812,50.6
201912,48.9
202012,52.9
202112,55.0
202212,50.3
202312,54.1
