Missouri January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,65.4
197512,65.5
197612,65.8
197712,65.6
197812,63.5
197912,63.2
198012,66.7
198112,65.9
198212,64.3
198312,64.5
198412,65.3
198512,63.5
198612,66.7
198712,67.4
198812,66.8
198912,64.5
199012,67.4
199112,67.0
199212,65.1
199312,62.9
199412,65.6
199512,65.1
199612,63.7
199712,64.1
199812,67.1
199912,67.7
200012,66.1
200112,66.6
200212,66.4
200312,65.4
200412,65.3
200512,67.1
200612,68.0
200712,67.0
200812,64.1
200912,64.2
201012,65.8
201112,66.3
201212,70.4
201312,64.2
201412,63.7
201512,66.3
201612,68.1
201712,68.2
201812,65.8
201912,65.1
202012,66.2
202112,66.7
202212,66.5
202312,68.8
