Montana January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,54.6
197512,50.6
197612,55.2
197712,53.7
197812,50.3
197912,52.7
198012,54.3
198112,56.3
198212,50.6
198312,53.6
198412,53.5
198512,51.1
198612,54.6
198712,57.3
198812,57.2
198912,52.7
199012,55.5
199112,54.9
199212,56.0
199312,51.1
199412,55.2
199512,53.6
199612,51.1
199712,54.1
199812,55.7
199912,56.3
200012,54.9
200112,56.2
200212,53.6
200312,55.7
200412,54.8
200512,55.3
200612,56.7
200712,56.4
200812,54.0
200912,53.4
201012,53.3
201112,53.4
201212,57.2
201312,54.3
201412,53.8
201512,57.4
201612,56.6
201712,55.4
201812,53.1
201912,51.4
202012,55.6
202112,56.7
202212,54.3
202312,55.6
