Nevada January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,63.9
197512,61.3
197612,63.7
197712,64.2
197812,62.3
197912,63.2
198012,63.6
198112,65.4
198212,60.4
198312,61.2
198412,61.4
198512,62.2
198612,64.9
198712,63.8
198812,64.5
198912,64.2
199012,63.9
199112,63.2
199212,64.7
199312,61.7
199412,64.3
199512,64.2
199612,65.1
199712,63.9
199812,61.7
199912,64.8
200012,65.2
200112,65.4
200212,65.1
200312,65.8
200412,64.1
200512,63.8
200612,64.7
200712,65.8
200812,64.5
200912,64.2
201012,63.1
201112,63.3
201212,66.6
201312,64.4
201412,66.7
201512,66.3
201612,65.4
201712,65.7
201812,65.7
201912,62.8
202012,66.8
202112,66.2
202212,65.6
202312,62.9
