New Hampshire January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,53.3
197512,54.3
197612,53.1
197712,53.5
197812,52.7
197912,53.7
198012,52.7
198112,53.9
198212,53.5
198312,54.7
198412,54.6
198512,53.5
198612,53.5
198712,54.0
198812,53.8
198912,52.8
199012,55.9
199112,55.7
199212,52.5
199312,53.8
199412,53.8
199512,54.1
199612,53.2
199712,53.0
199812,56.5
199912,56.6
200012,53.5
200112,56.1
200212,55.2
200312,53.2
200412,53.6
200512,54.7
200612,55.8
200712,53.9
200812,54.5
200912,53.5
201012,56.1
201112,55.4
201212,57.2
201312,54.8
201412,53.6
201512,55.0
201612,56.8
201712,55.3
201812,54.5
201912,53.8
202012,56.5
202112,56.1
202212,56.5
202312,56.4
