North Carolina January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,70.3
197512,70.5
197612,69.3
197712,69.7
197812,68.7
197912,68.7
198012,69.4
198112,68.9
198212,69.3
198312,69.0
198412,69.8
198512,70.3
198612,70.9
198712,69.7
198812,69.0
198912,68.8
199012,72.7
199112,71.1
199212,68.8
199312,69.8
199412,70.2
199512,69.3
199612,68.6
199712,69.4
199812,71.8
199912,71.2
200012,69.8
200112,71.1
200212,71.1
200312,69.2
200412,69.9
200512,70.3
200612,71.3
200712,72.4
200812,70.7
200912,69.4
201012,70.2
201112,71.8
201212,71.8
201312,68.9
201412,69.2
201512,71.1
201612,71.7
201712,71.9
201812,70.7
201912,72.1
202012,71.1
202112,71.1
202212,71.1
202312,71.8
