Oklahoma January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,71.7
197512,70.6
197612,71.9
197712,73.0
197812,70.6
197912,69.3
198012,73.2
198112,72.4
198212,71.0
198312,69.4
198412,71.6
198512,70.3
198612,72.2
198712,71.2
198812,71.8
198912,70.2
199012,72.8
199112,71.9
199212,70.8
199312,69.5
199412,71.8
199512,71.5
199612,71.3
199712,70.1
199812,73.7
199912,73.7
200012,72.3
200112,72.5
200212,71.1
200312,72.0
200412,71.4
200512,73.0
200612,75.2
200712,71.1
200812,72.0
200912,71.4
201012,72.0
201112,74.7
201212,76.0
201312,70.8
201412,71.1
201512,72.4
201612,74.6
201712,74.0
201812,72.2
201912,71.4
202012,72.8
202112,72.8
202212,74.1
202312,74.3
