Pennsylvania January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,58.5
197512,58.8
197612,57.6
197712,58.3
197812,56.7
197912,57.4
198012,57.8
198112,57.7
198212,58.5
198312,58.9
198412,58.4
198512,58.9
198612,58.8
198712,59.6
198812,59.0
198912,57.5
199012,61.0
199112,61.6
199212,57.3
199312,58.5
199412,58.7
199512,58.8
199612,57.4
199712,58.2
199812,61.9
199912,61.0
200012,58.8
200112,60.6
200212,60.7
200312,57.7
200412,58.9
200512,60.0
200612,60.9
200712,60.1
200812,59.3
200912,58.4
201012,60.4
201112,60.3
201212,62.2
201312,58.8
201412,57.7
201512,60.1
201612,61.7
201712,60.7
201812,59.0
201912,59.9
202012,61.3
202112,61.1
202212,60.3
202312,61.9
