Rhode Island January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,58.5
197512,58.9
197612,58.1
197712,58.5
197812,57.1
197912,58.6
198012,58.2
198112,58.4
198212,58.2
198312,59.6
198412,59.0
198512,58.7
198612,58.4
198712,58.7
198812,58.7
198912,58.0
199012,60.9
199112,61.3
199212,57.7
199312,58.9
199412,59.2
199512,59.3
199612,58.1
199712,58.8
199812,61.2
199912,61.7
200012,58.8
200112,60.7
200212,60.7
200312,58.0
200412,58.4
200512,59.4
200612,60.9
200712,59.8
200812,60.2
200912,58.7
201012,61.2
201112,60.9
201212,62.1
201312,59.9
201412,59.2
201512,60.3
201612,61.9
201712,60.6
201812,60.3
201912,59.7
202012,62.1
202112,61.5
202212,61.8
202312,61.6
