South Dakota January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,59.3
197512,56.0
197612,59.7
197712,57.5
197812,54.1
197912,54.9
198012,59.3
198112,60.3
198212,54.7
198312,56.4
198412,56.9
198512,55.3
198612,57.1
198712,60.9
198812,60.0
198912,56.9
199012,59.8
199112,58.7
199212,57.4
199312,53.4
199412,56.7
199512,55.8
199612,53.0
199712,56.2
199812,58.6
199912,60.1
200012,58.4
200112,58.4
200212,58.6
200312,58.4
200412,58.6
200512,59.6
200612,60.6
200712,58.8
200812,56.0
200912,55.1
201012,56.3
201112,56.3
201212,62.7
201312,55.7
201412,55.7
201512,59.8
201612,60.5
201712,59.1
201812,55.6
201912,52.8
202012,59.1
202112,60.6
202212,58.1
202312,58.8
