Virginia January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,66.4
197512,66.2
197612,65.7
197712,66.0
197812,64.6
197912,64.5
198012,65.7
198112,65.0
198212,65.5
198312,65.5
198412,65.9
198512,66.5
198612,66.6
198712,66.5
198812,65.8
198912,65.0
199012,68.9
199112,68.2
199212,64.8
199312,66.0
199412,66.7
199512,66.0
199612,64.6
199712,65.7
199812,68.5
199912,68.0
200012,66.1
200112,67.7
200212,67.8
200312,65.1
200412,66.3
200512,66.8
200612,67.9
200712,68.3
200812,66.9
200912,65.7
201012,67.1
201112,67.9
201212,68.7
201312,65.4
201412,65.2
201512,67.1
201612,67.8
201712,68.1
201812,66.5
201912,68.2
202012,67.7
202112,67.9
202212,67.3
202312,68.6
