Washington January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,56.7
197512,54.7
197612,55.8
197712,56.1
197812,55.3
197912,56.5
198012,55.3
198112,56.9
198212,55.2
198312,56.1
198412,54.7
198512,54.0
198612,56.9
198712,58.6
198812,57.2
198912,56.2
199012,57.0
199112,56.8
199212,58.6
199312,54.9
199412,57.8
199512,57.1
199612,55.2
199712,56.4
199812,58.1
199912,56.6
200012,55.8
200112,56.6
200212,56.9
200312,58.2
200412,58.0
200512,57.2
200612,57.6
200712,56.5
200812,55.6
200912,56.3
201012,56.2
201112,55.0
201212,56.7
201312,56.8
201412,58.0
201512,60.0
201612,58.0
201712,56.4
201812,57.7
201912,55.9
202012,57.8
202112,58.2
202212,56.9
202312,58.0
